NODE_KEY                        ,PRODUCT_ID,TYPE_CODE,CATEGORY                                  ,DESC_GUID                         ,SUPPLIER_GUID                     ,TAX_TARIF_CODE,MEASURE_UNIT,WEIGHT_MEASURE   ,WEIGHT_UNIT,CURRENCY_CODE,PRICE               ,WIDTH            ,DEPTH            ,HEIGHT           ,DIM_UNIT
74867AD200E41EDBA5D8B06B26EB4052,HT-1000   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885C7A052  ,74867AD200E41EDBA5D8B06885AB2052  ,1,EA          ,4.2,KG         ,EUR          ,956.00,30.00,18.00,3.00,CM      
74867AD200E41EDBA5D8B06B26EB6052,HT-1001   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885C7E052  ,74867AD200E41EDBA5D8B06885AB4052  ,1,EA          ,4.5,KG         ,EUR          ,1249.00,29.00,17.00,3.10,CM      
74867AD200E41EDBA5D8B06B26EB8052,HT-1002   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885C82052  ,74867AD200E41EDBA5D8B06885AB6052  ,1,EA          ,4.2,KG         ,USD          ,1570.00,28.00,19.00,2.50,CM      
74867AD200E41EDBA5D8B06B26EBA052,HT-1003   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885C86052  ,74867AD200E41EDBA5D8B06885AB8052  ,1,EA          ,4.2,KG         ,EUR          ,1650.00,32.00,21.00,4.00,CM      
74867AD200E41EDBA5D8B06B26EBC052,HT-1007   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885C8A052  ,74867AD200E41EDBA5D8B06885ABA052  ,1,EA          ,0.2,KG         ,USD          ,299.00,32.00,22.00,3.00,CM      
74867AD200E41EDBA5D8B06B26EBE052,HT-1010   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885C8E052  ,74867AD200E41EDBA5D8B06885ABC052  ,1,EA          ,4.3,KG         ,EUR          ,1999.00,33.00,20.00,3.00,CM      
74867AD200E41EDBA5D8B06B26EC0052,HT-1011   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885C92052  ,74867AD200E41EDBA5D8B06885ABE052  ,1,EA          ,4.1,KG         ,JPY          ,2299.00,33.00,23.00,2.00,CM      
74867AD200E41EDBA5D8B06B26EC2052,HT-1020   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885C96052  ,74867AD200E41EDBA5D8B06885AC0052  ,1,EA          ,0.16,KG         ,EUR          ,459.00,10.00,1.80,17.00,CM      
74867AD200E41EDBA5D8B06B26EC4052,HT-1021   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885C9A052  ,74867AD200E41EDBA5D8B06885AC2052  ,1,EA          ,0.18,KG         ,MXN          ,149.00,11.00,1.70,18.00,CM      
74867AD200E41EDBA5D8B06B26EC6052,HT-1022   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885C9E052  ,74867AD200E41EDBA5D8B06885AC4052  ,1,EA          ,0.2,KG         ,ARS          ,1679.00,84.00,1.50,14.00,CM      
74867AD200E41EDBA5D8B06B26EC8052,HT-1023   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885CA2052  ,74867AD200E41EDBA5D8B06885AC6052  ,1,EA          ,0.8,KG         ,USD          ,512.00,80.00,1.60,13.00,CM      
74867AD200E41EDBA5D8B06B26ECA052,HT-1030   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885CA6052  ,74867AD200E41EDBA5D8B06885AC8052  ,1,EA          ,21,KG         ,EUR          ,230.00,37.00,12.00,36.00,CM      
74867AD200E41EDBA5D8B06B26ECC052,HT-1031   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885CAA052  ,74867AD200E41EDBA5D8B06885ACA052  ,1,EA          ,21,KG         ,GBP          ,285.00,40.80,19.00,43.00,CM      
74867AD200E41EDBA5D8B06B26ECE052,HT-1032   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885CAE052  ,74867AD200E41EDBA5D8B06885ACC052  ,1,EA          ,21,KG         ,EUR          ,345.00,40.80,19.00,43.00,CM      
74867AD200E41EDBA5D8B06B26ED0052,HT-1035   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885CB2052  ,74867AD200E41EDBA5D8B06885ACE052  ,1,EA          ,14,KG         ,USD          ,399.00,39.00,20.00,41.00,CM      
74867AD200E41EDBA5D8B06B26ED2052,HT-1036   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885CB6052  ,74867AD200E41EDBA5D8B06885AD0052  ,1,EA          ,15,KG         ,CAD          ,430.00,45.00,26.00,46.00,CM      
74867AD200E41EDBA5D8B06B26ED4052,HT-1037   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885CBA052  ,74867AD200E41EDBA5D8B06885AD2052  ,1,EA          ,17,KG         ,MXN          ,1230.00,54.50,22.10,39.10,CM      
74867AD200E41EDBA5D8B06B26ED6052,HT-1040   ,PR       ,Laser Printers                            ,74867AD200E41EDBA5D8B06885CBE052  ,74867AD200E41EDBA5D8B06885AD4052  ,1,EA          ,32,KG         ,EUR          ,830.00,51.00,46.00,30.00,CM      
74867AD200E41EDBA5D8B06B26ED8052,HT-1041   ,PR       ,Laser Printers                            ,74867AD200E41EDBA5D8B06885CC2052  ,74867AD200E41EDBA5D8B06885AD6052  ,1,EA          ,23,KG         ,ARS          ,490.00,48.00,42.00,26.00,CM      
74867AD200E41EDBA5D8B06B26EDA052,HT-1042   ,PR       ,Laser Printers                            ,74867AD200E41EDBA5D8B06885CC6052  ,74867AD200E41EDBA5D8B06885AD8052  ,1,EA          ,17,KG         ,EUR          ,349.00,53.00,50.00,65.00,CM      
74867AD200E41EDBA5D8B06B26EDC052,HT-1050   ,PR       ,Ink Jet Printers                          ,74867AD200E41EDBA5D8B06885CCA052  ,74867AD200E41EDBA5D8B06885ADA052  ,1,EA          ,3,KG         ,RUB          ,139.00,41.00,41.00,28.00,CM      
74867AD200E41EDBA5D8B06B26EDE052,HT-1051   ,PR       ,Ink Jet Printers                          ,74867AD200E41EDBA5D8B06885CCE052  ,74867AD200E41EDBA5D8B06885ADC052  ,1,EA          ,1.9,KG         ,USD          ,99.00,46.00,32.00,25.00,CM      
74867AD200E41EDBA5D8B06B26EE0052,HT-1052   ,PR       ,Ink Jet Printers                          ,74867AD200E41EDBA5D8B06885CD2052  ,74867AD200E41EDBA5D8B06885ADE052  ,1,EA          ,18,KG         ,EUR          ,170.00,41.00,41.00,28.00,CM      
74867AD200E41EDBA5D8B06B26EE2052,HT-1055   ,PR       ,Multifunction Printers                    ,74867AD200E41EDBA5D8B06885CD6052  ,74867AD200E41EDBA5D8B06885AE0052  ,1,EA          ,6.3,KG         ,EUR          ,99.00,55.00,45.00,29.00,CM      
74867AD200E41EDBA5D8B06B26EE4052,HT-1056   ,PR       ,Multifunction Printers                    ,74867AD200E41EDBA5D8B06885CDA052  ,74867AD200E41EDBA5D8B06885AE2052  ,1,EA          ,4.3,KG         ,JPY          ,119.00,51.00,41.30,22.00,CM      
74867AD200E41EDBA5D8B06B26EE6052,HT-1060   ,PR       ,Mice                                      ,74867AD200E41EDBA5D8B06885CDE052  ,74867AD200E41EDBA5D8B06885AE4052  ,1,EA          ,0.09,KG         ,EUR          ,9.00,6.00,14.50,3.50,CM      
74867AD200E41EDBA5D8B06B26EE8052,HT-1061   ,PR       ,Mice                                      ,74867AD200E41EDBA5D8B06885CE2052  ,74867AD200E41EDBA5D8B06885AE6052  ,1,EA          ,0.09,KG         ,EUR          ,7.00,7.00,15.00,3.10,CM      
74867AD200E41EDBA5D8B06B26EEA052,HT-1062   ,PR       ,Mice                                      ,74867AD200E41EDBA5D8B06885CE6052  ,74867AD200E41EDBA5D8B06885AE8052  ,1,EA          ,0.03,KG         ,ARS          ,11.00,3.00,7.00,4.00,CM      
74867AD200E41EDBA5D8B06B26EEC052,HT-1063   ,PR       ,Keyboards                                 ,74867AD200E41EDBA5D8B06885CEA052  ,74867AD200E41EDBA5D8B06885AEA052  ,1,EA          ,2.1,KG         ,BRL          ,14.00,50.00,21.00,3.50,CM      
74867AD200E41EDBA5D8B06B26EEE052,HT-1064   ,PR       ,Keyboards                                 ,74867AD200E41EDBA5D8B06885CEE052  ,74867AD200E41EDBA5D8B06885AEC052  ,1,EA          ,1.8,KG         ,CAD          ,16.00,52.00,25.00,3.00,CM      
74867AD200E41EDBA5D8B06B26EF0052,HT-1065   ,PR       ,Keyboards                                 ,74867AD200E41EDBA5D8B06885CF2052  ,74867AD200E41EDBA5D8B06885AEE052  ,1,EA          ,2.3,KG         ,CHF          ,26.00,51.40,23.00,4.00,CM      
74867AD200E41EDBA5D8B06B26EF2052,HT-1066   ,PR       ,Mousepads                                 ,74867AD200E41EDBA5D8B06885CF6052  ,74867AD200E41EDBA5D8B06885AF0052  ,1,EA          ,80,G          ,USD          ,6.99,15.00,6.00,0.20,CM      
74867AD200E41EDBA5D8B06B26EF4052,HT-1067   ,PR       ,Mousepads                                 ,74867AD200E41EDBA5D8B06885CFA052  ,74867AD200E41EDBA5D8B06885AF2052  ,1,EA          ,80,G          ,EUR          ,8.99,15.00,6.00,0.20,CM      
74867AD200E41EDBA5D8B06B26EF6052,HT-1068   ,PR       ,Mousepads                                 ,74867AD200E41EDBA5D8B06885CFE052  ,74867AD200E41EDBA5D8B06885AF4052  ,1,EA          ,90,G          ,USD          ,12.99,24.00,24.00,0.60,CM      
74867AD200E41EDBA5D8B06B26EF8052,HT-1069   ,PR       ,Computer System Accessories               ,74867AD200E41EDBA5D8B06885D02052  ,74867AD200E41EDBA5D8B06885AF6052  ,1,EA          ,45,G          ,JPY          ,14.00,6.00,6.00,3.00,CM      
74867AD200E41EDBA5D8B06B26EFA052,HT-1070   ,PR       ,Graphic Cards                             ,74867AD200E41EDBA5D8B06885D06052  ,74867AD200E41EDBA5D8B06885AF8052  ,1,EA          ,0.255,KG         ,ARS          ,70.90,22.00,35.00,17.00,CM      
74867AD200E41EDBA5D8B06B26EFC052,HT-1071   ,PR       ,Graphic Cards                             ,74867AD200E41EDBA5D8B06885D0A052  ,74867AD200E41EDBA5D8B06885AFA052  ,1,EA          ,0.3,KG         ,ZAR          ,81.70,22.00,35.00,17.00,CM      
74867AD200E41EDBA5D8B06B26EFE052,HT-1072   ,PR       ,Graphic Cards                             ,74867AD200E41EDBA5D8B06885D0E052  ,74867AD200E41EDBA5D8B06885AFC052  ,1,EA          ,0.4,KG         ,USD          ,101.20,22.00,35.00,17.00,CM      
74867AD200E41EDBA5D8B06B26F00052,HT-1073   ,PR       ,Graphic Cards                             ,74867AD200E41EDBA5D8B06885D12052  ,74867AD200E41EDBA5D8B06885AFE052  ,1,EA          ,0.4,KG         ,EUR          ,139.99,22.00,35.00,17.00,CM      
74867AD200E41EDBA5D8B06B26F02052,HT-1080   ,PR       ,Scanners                                  ,74867AD200E41EDBA5D8B06885D16052  ,74867AD200E41EDBA5D8B06885B00052  ,1,EA          ,2.3,KG         ,INR          ,129.00,34.00,48.00,5.00,CM      
74867AD200E41EDBA5D8B06B26F04052,HT-1081   ,PR       ,Scanners                                  ,74867AD200E41EDBA5D8B06885D1A052  ,74867AD200E41EDBA5D8B06885B02052  ,1,EA          ,2.4,KG         ,PLN          ,89.00,31.00,43.00,7.00,CM      
74867AD200E41EDBA5D8B06B26F06052,HT-1082   ,PR       ,Scanners                                  ,74867AD200E41EDBA5D8B06885D1E052  ,74867AD200E41EDBA5D8B06885B04052  ,1,EA          ,3.2,KG         ,ARS          ,169.00,33.00,41.00,12.00,CM      
74867AD200E41EDBA5D8B06B26F08052,HT-1083   ,PR       ,Scanners                                  ,74867AD200E41EDBA5D8B06885D22052  ,74867AD200E41EDBA5D8B06885B06052  ,1,EA          ,3.2,KG         ,CNY          ,189.00,35.00,40.00,10.00,CM      
74867AD200E41EDBA5D8B06B26F0A052,HT-1085   ,PR       ,Multifunction Printers                    ,74867AD200E41EDBA5D8B06885D26052  ,74867AD200E41EDBA5D8B06885B08052  ,1,EA          ,23.2,KG         ,DKK          ,1499.00,45.00,42.00,22.00,CM      
74867AD200E41EDBA5D8B06B26F0C052,HT-1090   ,PR       ,Speakers                                  ,74867AD200E41EDBA5D8B06885D2A052  ,74867AD200E41EDBA5D8B06885B0A052  ,1,EA          ,3,KG         ,EUR          ,39.00,12.00,10.00,16.00,CM      
74867AD200E41EDBA5D8B06B26F0E052,HT-1091   ,PR       ,Speakers                                  ,74867AD200E41EDBA5D8B06885D2E052  ,74867AD200E41EDBA5D8B06885AB2052  ,1,EA          ,1.4,KG         ,EUR          ,26.00,13.00,11.00,17.50,CM      
74867AD200E41EDBA5D8B06B26F10052,HT-1092   ,PR       ,Speakers                                  ,74867AD200E41EDBA5D8B06885D32052  ,74867AD200E41EDBA5D8B06885AB4052  ,1,EA          ,2.1,KG         ,EUR          ,45.00,12.40,10.40,18.10,CM      
74867AD200E41EDBA5D8B06B26F12052,HT-1100   ,PR       ,Software                                  ,74867AD200E41EDBA5D8B06885D36052  ,74867AD200E41EDBA5D8B06885AB6052  ,1,EA          ,1.2,KG         ,USD          ,89.90,15.00,6.50,2.10,CM      
74867AD200E41EDBA5D8B06B26F14052,HT-1101   ,PR       ,Software                                  ,74867AD200E41EDBA5D8B06885D3A052  ,74867AD200E41EDBA5D8B06885AB8052  ,1,EA          ,0.8,KG         ,EUR          ,79.90,14.00,6.70,24.00,CM      
74867AD200E41EDBA5D8B06B26F16052,HT-1102   ,PR       ,Software                                  ,74867AD200E41EDBA5D8B06885D3E052  ,74867AD200E41EDBA5D8B06885ABA052  ,1,EA          ,0.8,KG         ,USD          ,69.00,16.00,6.00,27.00,CM      
74867AD200E41EDBA5D8B06B26F18052,HT-1103   ,PR       ,Software                                  ,74867AD200E41EDBA5D8B06885D42052  ,74867AD200E41EDBA5D8B06885ABC052  ,1,EA          ,0.8,KG         ,EUR          ,77.00,11.00,3.40,22.00,CM      
74867AD200E41EDBA5D8B06B26F1A052,HT-1104   ,PR       ,Software                                  ,74867AD200E41EDBA5D8B06885D46052  ,74867AD200E41EDBA5D8B06885ABE052  ,1,EA          ,1.1,KG         ,JPY          ,55.00,10.00,3.00,30.00,CM      
74867AD200E41EDBA5D8B06B26F1C052,HT-1105   ,PR       ,Software                                  ,74867AD200E41EDBA5D8B06885D4A052  ,74867AD200E41EDBA5D8B06885AC0052  ,1,EA          ,0.7,KG         ,EUR          ,29.00,16.00,4.00,21.00,CM      
74867AD200E41EDBA5D8B06B26F1E052,HT-1106   ,PR       ,Software                                  ,74867AD200E41EDBA5D8B06885D4E052  ,74867AD200E41EDBA5D8B06885AC2052  ,1,EA          ,0.9,KG         ,MXN          ,34.00,17.90,4.20,23.10,CM      
74867AD200E41EDBA5D8B06B26F20052,HT-1107   ,PR       ,Software                                  ,74867AD200E41EDBA5D8B06885D52052  ,74867AD200E41EDBA5D8B06885AC4052  ,1,EA          ,0.5,KG         ,ARS          ,29.90,12.00,1.50,19.00,CM      
74867AD200E41EDBA5D8B06B26F22052,HT-1110   ,PR       ,Computer System Accessories               ,74867AD200E41EDBA5D8B06885D56052  ,74867AD200E41EDBA5D8B06885AC6052  ,1,EA          ,0.03,KG         ,USD          ,8.90,20.00,8.00,4.30,CM      
74867AD200E41EDBA5D8B06B26F24052,HT-1111   ,PR       ,Computer System Accessories               ,74867AD200E41EDBA5D8B06885D5A052  ,74867AD200E41EDBA5D8B06885AC8052  ,1,EA          ,0.02,KG         ,EUR          ,6.90,31.00,9.00,7.00,CM      
74867AD200E41EDBA5D8B06B26F26052,HT-1112   ,PR       ,Computer System Accessories               ,74867AD200E41EDBA5D8B06885D5E052  ,74867AD200E41EDBA5D8B06885ACA052  ,1,EA          ,0.075,KG         ,GBP          ,39.00,9.00,8.20,1.30,CM      
74867AD200E41EDBA5D8B06B26F28052,HT-1113   ,PR       ,Computer System Accessories               ,74867AD200E41EDBA5D8B06885D62052  ,74867AD200E41EDBA5D8B06885ACC052  ,1,EA          ,0.05,KG         ,EUR          ,2.30,2.00,2.00,0.10,CM      
74867AD200E41EDBA5D8B06B26F2A052,HT-1114   ,PR       ,Computer System Accessories               ,74867AD200E41EDBA5D8B06885D66052  ,74867AD200E41EDBA5D8B06885ACE052  ,1,EA          ,1.8,KG         ,USD          ,31.00,42.00,32.00,7.00,CM      
74867AD200E41EDBA5D8B06B26F2C052,HT-1115   ,PR       ,Telecommunications                        ,74867AD200E41EDBA5D8B06885D6A052  ,74867AD200E41EDBA5D8B06885AD0052  ,1,EA          ,0.45,KG         ,CAD          ,49.00,19.30,18.00,5.00,CM      
